"Python开发工程师","成都鲲摇物联网有限责任公司","无需经验","民营公司","3-4.5千/月",,,"50-150人","互联网/电子商务 计算机服务(系统、数据服务、维修)","五险一金-补充公积金-员工旅游-出国机会-定期体检-弹性工作-专业培训-绩效奖金-年终奖金-补充医疗保险"
"java/python开发工程师","上海紫燕食品股份有限公司","大专","民营公司","1-1.5万/月","3-4年经验",,"5000-10000人","快速消费品(食品、饮料、化妆品)","提供食宿-五险一金-专业培训-绩效奖金-年终奖金-员工旅游"
"Python开发工程师","深圳市睿服科技有限公司","本科","民营公司","1.2-1.7万/月","3-4年经验",,"1000-5000人","计算机软件",
"Python架构师","大连弗斯特科技有限公司","本科","合资","1-2万/月","8-9年经验",,"150-500人","计算机服务(系统、数据服务、维修) 外包服务","五险一金-年终奖金-定期体检"
"python中级工程师","广州点亿汽车科技服务有限公司","大专","民营公司","1-2万/月","2年经验",,"150-500人","汽车 互联网/电子商务","带薪年假-节日福利-五险一金-双休-不加班-1天7小时"
"Python开发工程师","苏州澜途科技有限公司","本科","创业公司","1.5-3万/月","1年经验",,"少于50人","机械/设备/重工","带薪年假-五险一金-节日福利-绩效奖金-专业培训-年终奖金"
"python后端开发工程师","广州昂特机械设备有限公司","本科","民营公司","0.9-1.5万/月","2年经验",,"50-150人","机械/设备/重工",
"Python爬虫工程师","成都数智风科技有限公司","本科","民营公司","0.5-1万/月","无需经验",,"50-150人","计算机软件 计算机服务(系统、数据服务、维修)","五险一金-员工旅游-专业培训-餐饮补贴-通讯补贴-免费班车-绩效奖金-年终奖金-弹性工作-定期体检"
"Python开发工程师","深圳市韵达速递有限公司","大专","民营公司","1.5-2.2万/月","3-4年经验",,"1000-5000人","交通/运输/物流 互联网/电子商务","五险一金-餐饮补贴-通讯补贴-绩效奖金-年终奖金-定期体检-员工旅游-住房补贴-包吃住"
"Python工程师","深圳市唛壳科技有限公司","本科","民营公司","1.5-2万/月","2年经验",,"50-150人","贸易/进出口 互联网/电子商务",
"python开发实习生","大连炫煌科技有限公司","大专","民营公司","3-5千/月","无需经验",,"500-1000人","计算机软件 电子技术/半导体/集成电路","五险一金-员工旅游-年终奖金-定期体检"
